Dátum;Napi esetszám [fő/nap];Napi tesztszám [db/nap];Tesztpozitivitás [%]
2020-03-04;3;109;2,75229357798165
2020-03-05;0;109;0
2020-03-06;2;50;4
2020-03-07;2;43;4,65116279069768
2020-03-08;2;110;1,81818181818182
2020-03-09;3;110;2,72727272727273
2020-03-10;1;78;1,28205128205128
2020-03-11;3;121;2,47933884297521
2020-03-12;3;128;2,34375
2020-03-13;6;156;3,84615384615385
2020-03-14;7;222;3,15315315315315
2020-03-15;7;234;2,99145299145299
2020-03-16;11;117;9,4017094017094
2020-03-17;8;216;3,7037037037037
2020-03-18;15;519;2,89017341040462
2020-03-19;12;685;1,75182481751825
2020-03-20;17;470;3,61702127659574
2020-03-21;28;966;2,89855072463768
2020-03-22;35;1072;3,26492537313433
2020-03-23;21;598;3,51170568561873
2020-03-24;38;704;5,39772727272727
2020-03-25;37;1188;3,11447811447811
2020-03-26;39;1270;3,07086614173228
2020-03-27;42;1028;4,08560311284047
2020-03-28;66;1845;3,57723577235772
2020-03-29;38;1153;3,29575021682567
2020-03-30;45;845;5,32544378698225
2020-03-31;34;1062;3,2015065913371
2020-04-01;60;1193;5,02933780385583
2020-04-02;38;1368;2,77777777777778
2020-04-03;55;1655;3,32326283987915
2020-04-04;55;1826;3,01204819277108
2020-04-05;11;1032;1,06589147286822
2020-04-06;73;1464;4,98633879781421
2020-04-07;78;2002;3,8961038961039
2020-04-08;85;2078;4,09047160731473
2020-04-09;210;2122;9,89632422243167
2020-04-10;120;2013;5,96125186289121
2020-04-11;100;1571;6,3653723742839
2020-04-12;48;1287;3,72960372960373
2020-04-13;54;1006;5,36779324055666
2020-04-14;67;1501;4,4636908727515
2020-04-15;73;1163;6,27687016337059
2020-04-16;111;3101;3,5794904869397
2020-04-17;71;2311;3,07226308957161
2020-04-18;82;2452;3,3442088091354
2020-04-19;68;1704;3,9906103286385
2020-04-20;114;1995;5,71428571428571
2020-04-21;70;2650;2,64150943396226
2020-04-22;116;2688;4,31547619047619
2020-04-23;99;2861;3,46032855644879
2020-04-24;60;2550;2,35294117647059
2020-04-25;57;2704;2,10798816568047
2020-04-26;83;2120;3,91509433962264
2020-04-27;66;1547;4,26632191338074
2020-04-28;78;3128;2,49360613810742
2020-04-29;48;2651;1,8106374952848
2020-04-30;88;3380;2,60355029585799
2020-05-01;79;3220;2,45341614906832
2020-05-02;56;2459;2,27734851565677
2020-05-03;37;1948;1,8993839835729
2020-05-04;30;1599;1,87617260787993
2020-05-05;46;3178;1,44745122718691
2020-05-06;39;5301;0,735710243350311
2020-05-07;28;5022;0,557546794105934
2020-05-08;35;4200;0,833333333333333
2020-05-09;50;4999;1,000200040008
